t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
11/03/2024,202403,3,2110201345,21102030190,1709706918730,99765155,125,HARSH INFINITY FLAVOUR PVT LTD,MAHAK CHAINI,MAHAK CHAINI/PPH/9GM/RS50/HARSH INFINITY FLAVOUR PVT LTD,50,9 GM,PPH,,1709706918730-harsh infinity flavour pvt ltd-mahak chaini#3.png,RECODING,5,1,99765155,95.88606,125,KHAINI,KHAINI,KHAINI,HARSH INFINITY FLAVOUR PVT LTD,CHAINI,MAHAK CHAINI,9G KHAINI,PLAST,9G,REGULAR,,9.0,GM,50.0,1,True,high
11/03/2024,202403,3,3110103023,31101030364,1709710254462,99765156,105,GORKHA LAHARI PVT.LTD.- NEPAL,MAYALU,MAYALU FILTER\20 KS\HL\RS:100\GORKHA LAHARI PVT.LTD NEPAL,88,20,CBP,New SKU,1709710254462-gorkha lahari pvt-ltd-- nepal-mayalu#3.png,RECODING,5,1,99765156,96.26589,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,MAYALU,MAYALU FILTER,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,88.0,1,True,high
11/03/2024,202403,2,112167852,12101020001,1709722237489,99765154,134,S.A.N.S. BEVERAGE IND. PVT.LTD. NEPAL,KABELI,KABELI PROCESSED DRINKING WATER ,20,1-LTR.,PBT,,1709722237489-s-a-n-s- beverage ind- pvt-ltd- nepal-kabeli#3.png,RECODING,5,3,99765154,153.7956,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,S.A.N.S BEVERAGE IND. PVT. LTD.-NPL,KABELI,KABELI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0,3,True,high
12/03/2024,202403,2,112136408,12101020032,1709881139499,99765157,134,SHANTI JAL UDHYOG PVT LTD-NEPL,SHANTI JAL,SHANTI JAL PBT 500 ML,10,500 ML.,BPT,,1709881139499-shanti jal udhyog pvt ltd-nepl-shanti jal#3.png,RECODING,5,1,99765157,183.34552,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,SHANTI JAL UDHYOG PVT LTD-NEPL,SHANTI JAL,SHANTI JAL,PET 500 ML,PET,500.000 ML,,,500.0,ML,10.0,1,True,high
12/03/2024,202403,2,124865093,52202020009,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,Any other reason,,RECODING,5,1,99765153,147.26169,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
11/03/2024,202403,2,128296706,52202020003,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,,,RECODING,5,1,99765153,147.26169,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
11/03/2024,202403,2,128302927,52202020011,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,Any other reason,1710054179346-p-g water industries-nepal-aqua care#3.png,RECODING,5,1,99765153,147.26169,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
20/03/2024,202403,2,128786076,52203020007,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,Seasonal purchases,,RECODING,5,1,99765153,147.26169,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
15/03/2024,202403,2,126402383,21301020041,1710228345884,99765161,118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI\400\ML,50,400ML,PET,New SKU,1710228345884-varun beverage -nepal-pepsi#3.png,RECODING,5,1,99765161,73.18637,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI,PET 250 ML+150 ML FREE,PET,250.000 ML,COLA,,400.0,ML,50.0,1,True,high
21/03/2024,202403,2,113249915,52204020011,1710304478387,99765158,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW ,MOUNTAIN DEW/2000ML/PBT,128,2000ML ,PBT,,,RECODING,5,1,99765158,88.0736,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW,PET 2000 ML,PET,2000.000 ML,LEMON,,2000.0,ML,128.0,1,True,high
